date,AAPL,MSFT,GOOGL,META,AMZN,NVDA,ADBE,CRM,ORCL,INTC
2020-07-27 00:00:00+00:00,91.8021979016,193.733721204,75.8413771337,231.6995294932,152.7605,10.3742257991,437.1,188.1554836702,51.096118876,44.1857337427
2020-07-28 00:00:00+00:00,90.2941088474,191.9945369518,74.5629984551,228.3455919784,150.0165,10.1691602601,432.26,186.7169258248,51.1053520019,43.891578162
2020-07-29 00:00:00+00:00,92.0249012612,193.9332997247,75.5478161649,231.49114876,151.6765,10.4180262055,436.3,190.7665646909,51.4285114093,42.8486629213
2020-07-30 00:00:00+00:00,93.1384180588,193.7812398994,76.2846938671,232.6918186987,152.594,10.5658525771,438.88,188.8846157288,51.0130207426,42.7773524775
2020-07-31 00:00:00+00:00,102.8889521045,194.8361549376,73.7844668315,251.7140027689,158.234,10.5665991749,444.32,191.9883535459,51.1976832612,42.5455935351
2020-08-03 00:00:00+00:00,105.4815096921,205.7939661002,73.5271051037,250.0171882274,155.5945,10.9603051005,447.97,200.2058689094,51.6870389353,43.0536804473
2020-08-04 00:00:00+00:00,106.1859301011,202.7052508982,73.0580026096,247.9036122196,156.9415,11.176818473,446.92,198.4520107143,51.7055051871,43.7935263017
2020-08-05 00:00:00+00:00,106.5708196029,202.3726200303,73.3451171382,247.1990868837,160.2515,11.2355508361,449.51,199.6639464334,51.2438488908,43.6063363867
2020-08-06 00:00:00+00:00,110.2889974316,205.6133950576,74.627462857,263.2344804452,161.25,11.2840796954,464.11,204.738311436,51.0407201204,43.5885087758
2020-08-07 00:00:00+00:00,107.7860053256,201.9354480325,74.3011738071,266.3701143347,158.373,11.1486966211,449.57,198.0972978209,50.9945544908,43.103892866
2020-08-10 00:00:00+00:00,109.3526553298,197.9153664005,74.2243124048,260.9720610565,157.408,11.1143531207,443.29,194.2644279452,50.7267938389,44.1718427413
2020-08-11 00:00:00+00:00,106.1005227358,193.2870454671,73.4170197404,254.1550342145,154.0335,10.8007820295,435.23,189.1703566707,50.1081744019,43.2474827652
2020-08-12 00:00:00+00:00,109.6266978228,198.8087178743,74.7410193805,257.8860416273,158.112,11.3883545265,445.36,189.7911042341,50.0158431426,44.1449196352
2020-08-13 00:00:00+00:00,111.5668216672,198.3430346592,75.2076424746,259.2851694071,158.051,11.3910920519,450.02,192.2740944878,49.8773462537,43.5795344071
2020-08-14 00:00:00+00:00,111.4673903201,198.5331094409,74.6115946965,259.2256320548,157.401,11.5115431695,447.6,190.618767652,50.0435425204,43.8756885742
2020-08-17 00:00:00+00:00,111.1763717435,199.8446254343,75.1873113939,259.1462489183,159.1205,12.2810366726,451.58,193.8505962362,49.8496468759,43.911586049
2020-08-18 00:00:00+00:00,112.1027808791,200.9945778633,77.1480209732,260.3171501809,165.6245,12.2051325593,463.51,201.0138260555,50.9483888612,43.6603037254
2020-08-19 00:00:00+00:00,112.2434398579,199.7780992607,76.5941229965,260.5652224823,163.024,12.083437112,462.01,202.0976710075,51.8901677056,43.373123927
2020-08-20 00:00:00+00:00,114.734073843,204.4272033351,78.1630873639,266.9357191818,164.8685,12.0859257714,478.48,206.4330508155,51.0222538686,44.1269708978
2020-08-21 00:00:00+00:00,120.6466012585,202.9410143277,78.1293675229,264.9511407707,164.236,12.6259648729,473.22,204.4821299019,50.9576219871,44.2256889535
2020-08-24 00:00:00+00:00,122.0895683677,203.5793134526,78.6044205773,269.297367491,165.373,12.6625481669,476.3,205.3984715432,51.714738313,44.1000477917
2020-08-25 00:00:00+00:00,121.0879794331,206.2277784786,79.6308922083,278.6546546992,167.3245,12.6921632144,484.43,212.8770017121,51.7886033204,44.360304484
2020-08-26 00:00:00+00:00,122.734659546,210.6863455007,81.5291209057,301.5666124551,172.0925,12.7150588814,528.49,268.3205975757,53.0812409501,44.4679969084
2020-08-27 00:00:00+00:00,121.2674408887,215.8594264687,80.7550522023,290.9590408479,170.0,12.570965499,510.32,272.2618519467,52.7950140464,44.3333813779
2020-08-28 00:00:00+00:00,121.0710033495,218.0791831272,81.2960572987,291.3956480983,170.09,13.0881089335,516.44,267.1185149926,53.4413328612,45.257741354
2020-08-31 00:00:00+00:00,125.176790435,214.8591069445,80.8051360839,290.9391950638,172.548,13.3138303459,513.39,268.6457510613,52.8319465501,45.7244085264
2020-09-01 00:00:00+00:00,130.1629087149,216.5167792989,82.0721095222,293.1619228842,174.956,13.7622867795,527.95,277.1194479589,53.2382040909,45.5808186272
2020-09-02 00:00:00+00:00,127.4661365713,220.6895407427,85.1619378956,300.1674846753,176.5725,14.2855543942,533.8,272.626417976,54.5031423428,46.8910764574
2020-09-03 00:00:00+00:00,117.2610851502,207.0185072454,80.8041443238,288.8752335163,168.4,12.9602086375,507.8,261.1179552128,52.721149039,45.2218438792
2020-09-04 00:00:00+00:00,117.338690104,204.1128171989,78.4090438514,280.5499270818,164.731,12.5688781473,491.94,250.9593720716,51.4562107871,44.9436384495
2020-09-08 00:00:00+00:00,109.4423860576,193.0711950223,75.552279085,269.0691409737,157.492,11.8623921861,462.13,237.726610521,51.0776526241,43.8936373116
2020-09-09 00:00:00+00:00,113.8076647073,201.2928688259,76.7240435604,271.6094013399,163.4305,12.6609851966,479.46,246.7520830306,52.5826521501,44.5308174893
2020-09-10 00:00:00+00:00,110.0923275455,195.65297208,75.6737696887,266.0228131127,158.7555,12.2594482496,476.26,244.1607082817,52.9335109353,43.9385091551
2020-09-11 00:00:00+00:00,108.6469352815,194.3763738301,75.1635091532,264.5542250885,155.811,12.1128237848,471.35,239.5297343958,52.6288177797,44.2256889535
2020-09-14 00:00:00+00:00,111.9014930303,195.6910794904,74.8198643028,264.097772054,155.1485,12.8175671802,485.91,243.0177445141,54.9001667576,44.3423557466
2020-09-15 00:00:00+00:00,112.0809544859,198.9016288205,76.1235328623,270.3194253727,157.8065,12.9358127164,497.67,247.9837250215,56.2666693947,44.8718434999
2020-09-16 00:00:00+00:00,108.7730433313,195.3481127964,74.9815211877,261.4880514434,153.905,12.4613369439,476.0,246.9195863413,55.7957799724,45.2038951418
2020-09-17 00:00:00+00:00,107.0366324907,193.3093663376,73.7393417502,252.8551353552,150.4365,12.4105535979,474.3,240.9387328334,55.5649518243,45.1590232983
2020-09-18 00:00:00+00:00,103.6414157631,190.9085994795,71.9566530962,250.5827930746,147.7455,12.1374686439,467.55,239.2144340461,55.1679274095,44.7731254442
2020-09-21 00:00:00+00:00,106.7844163909,192.956872791,70.9177844648,246.2365663543,148.0235,12.4640752616,475.64,241.4510959016,56.1558718836,44.6205611763
2020-09-22 00:00:00+00:00,108.4626235163,197.6059768653,72.3895563493,252.7856751108,156.4495,12.5840633636,486.78,244.1410020098,55.971209365,44.8269716564
2020-09-23 00:00:00+00:00,103.9130331013,191.0991365317,69.8888334337,247.0998579631,149.993,12.0722468955,470.39,232.5241547514,54.4385104613,43.8128679933
2020-09-24 00:00:00+00:00,104.9801012157,193.5761182107,70.5567838139,247.6059254579,150.9895,12.2955442554,467.67,234.061243956,54.7524367428,44.1179965291
2020-09-25 00:00:00+00:00,108.9185526197,197.9870509698,71.3601094382,252.8551353552,154.7565,12.819060808,479.78,239.1750215024,55.2140930391,44.8179972877
2020-09-28 00:00:00+00:00,111.518318571,199.5304010928,72.3320342676,254.8397137663,158.7025,12.9796257992,488.51,243.0473039219,55.0109642687,46.155178224
2020-09-29 00:00:00+00:00,110.6743646988,197.4535472235,72.6970019586,259.7713911178,157.244,13.169565471,489.33,243.8158485242,54.9093998835,45.9397933752
2020-09-30 00:00:00+00:00,112.3428712049,200.3782909752,72.676174998,259.8805429304,157.4365,13.4730208574,490.43,247.6290121281,55.1217617798,46.4692811285
2020-10-01 00:00:00+00:00,113.2935318886,202.4075105814,73.7819874314,264.5740708726,161.063,13.5566640156,499.51,249.7277300807,55.103295528,46.8821020887
2020-10-02 00:00:00+00:00,109.6363984421,196.4341739941,72.180294983,257.9356560876,156.25,13.006760038,478.99,244.2099739613,54.3184798242,45.7782547386
2020-10-05 00:00:00+00:00,113.0122139312,200.4259252383,73.5305762638,262.6093382457,159.96,13.5845450683,486.47,247.8359279826,54.9924980169,46.3885118102
2020-10-06 00:00:00+00:00,109.7722071112,196.167422121,71.9531819361,256.6655259045,154.998,13.6781457454,478.98,246.4663420887,54.9463323872,46.1013320118
2020-10-07 00:00:00+00:00,111.6347260017,199.9019483447,72.3558365083,256.1296897335,159.7845,13.9046792988,493.15,256.1618278413,56.1651050095,47.2679999428
2020-10-08 00:00:00+00:00,111.5280191903,200.6164622905,73.5603290647,261.7262008527,159.5275,13.7799613754,490.84,256.3983031035,56.4431959734,47.8962057518
2020-10-09 00:00:00+00:00,113.4681430346,205.5990062063,74.9001968653,262.4108804046,164.3325,13.7042842323,502.16,262.0737093977,56.6842081421,47.4026154733
2020-10-12 00:00:00+00:00,120.6757031162,210.924516816,77.5848912665,273.6237484271,172.1465,14.1655662923,510.89,263.1477012138,56.9715688048,48.3538985555
2020-10-13 00:00:00+00:00,117.4744987731,212.3154372973,77.7078695102,274.0107412173,172.1815,14.1877217717,514.31,262.9112259516,56.5173535638,48.309026712
2020-10-14 00:00:00+00:00,117.5618043461,210.410066775,77.5278650647,269.7240518494,168.1855,14.0353717335,506.31,257.9846579878,56.508083865,48.0577443884
2020-10-15 00:00:00+00:00,117.0961746234,209.2668444616,77.1326486928,264.6633769011,166.9325,13.9106538101,501.15,253.9350191217,56.1002171179,48.3269754494
2020-10-16 00:00:00+00:00,115.456769975,209.2668444616,77.7391099511,263.8794684288,163.6355,13.7528271366,502.82,254.7528294036,55.8870140456,48.6051808791
2020-10-19 00:00:00+00:00,112.5077817316,204.0842366411,75.8671628945,259.3843983277,160.3605,13.4404099832,495.2,251.2648192853,55.2659442262,48.9821043645
2020-10-20 00:00:00+00:00,113.9919764725,204.4938913033,76.9149573662,265.4968998338,160.8505,13.587532324,494.58,252.2107203344,55.3864503106,47.950051964
2020-10-21 00:00:00+00:00,113.3711368424,204.6367940925,78.6460744986,276.5807702597,159.247,13.4672952841,495.96,250.496274683,55.3122927202,48.0128725449
2020-10-22 00:00:00+00:00,112.2846674896,204.722535766,79.6710584896,275.9754738443,158.82,13.3042409132,483.6,246.0032447001,55.3308321178,48.3718472929
2020-10-23 00:00:00+00:00,111.5959235248,205.9991340159,80.976214689,282.5940428452,160.22,13.5325170324,488.5,246.8407612539,55.5254957925,43.2564571339
2020-10-26 00:00:00+00:00,111.605624144,200.1401196599,78.561774896,274.9732617467,160.352,13.0854244368,475.2,238.4261831719,53.2914983825,41.9282505663
2020-10-27 00:00:00+00:00,113.1092201234,203.1601319377,79.2852638379,281.1056090369,164.3165,13.339839043,478.56,246.6239922635,52.9114407318,40.9590187467
2020-10-28 00:00:00+00:00,107.8708857437,193.0902487275,74.9175526658,265.6060516464,158.139,12.5733590308,456.97,234.9283199177,51.5302556111,39.7115814974
2020-10-29 00:00:00+00:00,111.867540863,195.0337266602,77.2025677749,278.6645775913,160.5505,12.9686725285,461.11,233.657265383,51.9288526594,39.5859403356
2020-10-30 00:00:00+00:00,105.6009408459,192.8901848227,80.1396651037,261.0812128691,151.8075,12.4807541057,447.1,228.8587881864,52.0122799486,39.7385046035
2020-11-02 00:00:00+00:00,105.5136352729,192.7568088861,80.546782596,259.3447067595,150.224,12.5273055062,444.94,229.0361446331,52.3274497076,39.9000432401
